task_id,repository_folder,code_path_precision,code_path_recall,code_path_f1,code_path_exact,api_path_precision,api_path_recall,api_path_f1,api_path_exact,pred_code_paths,gold_code_paths,pred_api_paths,gold_api_paths,parse_ok,runtime_error
usecase_v1_0010_path,jobic10__student-management-using-django,1.0,0.75,0.8571,0,1.0,1.0,1.0,1,main_app/urls.py | main_app/student_views.py | main_app/templates/student_template/student_view_result.html,main_app/urls.py | main_app/student_views.py | main_app/models.py | main_app/templates/student_template/student_view_result.html,student/view/result,student/view/result,1,0
usecase_v1_0011_path,jobic10__student-management-using-django,1.0,0.6667,0.8,0,1.0,0.5,0.6667,0,main_app/urls.py | main_app/hod_views.py,main_app/urls.py | main_app/hod_views.py | main_app/models.py,student/view/leave,student/view/leave | staff/view/leave,1,0
usecase_v1_0012_path,jobic10__student-management-using-django,1.0,0.6667,0.8,0,1.0,1.0,1.0,1,main_app/urls.py | main_app/hod_views.py,main_app/urls.py | main_app/hod_views.py | main_app/models.py,student/view/feedback | staff/view/feedback,student/view/feedback | staff/view/feedback,1,0
usecase_v1_0013_path,thakurpdhiraj__library_management_system,1.0,0.5,0.6667,0,1.0,0.3333,0.5,0,client-frontend/src/components/admin/books/NewBook.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/admin/ClientBookAdminController.java,client-frontend/src/components/admin/books/NewBook.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/admin/ClientBookAdminController.java | book/src/main/java/com/dhitha/lms/book/controller/BookController.java | inventory/src/main/java/com/dhitha/lms/inventory/controller/InventoryController.java,POST /admin/books,POST /admin/books | POST /books/v1 | POST /v1/books,1,0
usecase_v1_0014_path,thakurpdhiraj__library_management_system,1.0,0.5,0.6667,0,1.0,0.5,0.6667,0,client-frontend/src/components/admin/books/FindBooks.vue | client-frontend/src/components/admin/books/EditBooks.vue,client-frontend/src/components/admin/books/FindBooks.vue | client-frontend/src/components/admin/books/EditBooks.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/ClientBookController.java | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/admin/ClientBookAdminController.java,GET /books | PUT /admin/books/{id},GET /books | GET /books/v1 | PUT /admin/books/{id} | PUT /books/v1/{id},1,0
usecase_v1_0015_path,thakurpdhiraj__library_management_system,1.0,0.75,0.8571,0,1.0,0.6667,0.8,0,client-frontend/src/components/admin/books/DeleteBooks.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/admin/ClientBookAdminController.java | inventory/src/main/java/com/dhitha/lms/inventory/controller/InventoryController.java,client-frontend/src/components/admin/books/DeleteBooks.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/admin/ClientBookAdminController.java | inventory/src/main/java/com/dhitha/lms/inventory/controller/InventoryController.java | book/src/main/java/com/dhitha/lms/book/controller/BookController.java,DELETE /admin/books/{id} | DELETE /v1/books/{bookId},DELETE /admin/books/{id} | DELETE /v1/books/{bookId} | DELETE /books/v1/{id},1,0
usecase_v1_0016_path,thakurpdhiraj__library_management_system,1.0,0.5,0.6667,0,1.0,0.5,0.6667,0,client-frontend/src/components/admin/users/NewUser.vue | client-frontend/src/components/admin/users/FindUsers.vue,client-frontend/src/components/admin/users/NewUser.vue | client-frontend/src/components/admin/users/FindUsers.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/admin/ClientUserAdminController.java | user/src/main/java/com/dhitha/lms/user/controller/UserController.java,POST /admin/users | GET /admin/users/{id} | PUT /admin/users/{id} | DELETE /admin/users/{id},POST /admin/users | GET /admin/users/{id} | PUT /admin/users/{id} | DELETE /admin/users/{id} | POST /v1 | GET /v1/{id} | PUT /v1/{id} | DELETE /v1/{id},1,0
usecase_v1_0017_path,thakurpdhiraj__library_management_system,1.0,0.75,0.8571,0,1.0,0.2,0.3333,0,client-frontend/src/components/user/orders/neworder/NewOrder.vue | client-frontend/src/components/user/orders/neworder/SearchInventory.vue | client-frontend/src/components/user/orders/neworder/OrderBook.vue,client-frontend/src/components/user/orders/neworder/NewOrder.vue | client-frontend/src/components/user/orders/neworder/SearchInventory.vue | client-frontend/src/components/user/orders/neworder/OrderBook.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/ClientOrderController.java,POST /orders/me,GET /books | GET /inventory/books/{bookId}/count | POST /orders/me | POST /v1 | POST /v1/books/{bookId}/order,1,0
usecase_v1_0018_path,thakurpdhiraj__library_management_system,1.0,0.6667,0.8,0,0.3333,0.5,0.4,0,client-frontend/src/components/user/orders/MyOrdersPage.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/ClientOrderController.java,client-frontend/src/components/user/orders/MyOrdersPage.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/ClientOrderController.java | order/src/main/java/com/dhitha/lms/order/controller/BookOrderController.java,GET /orders/me | GET /orders/me/overdue/collect | GET /orders/me/overdue/return,GET /orders/me | GET /v1/users/{userId},1,0
usecase_v1_0019_path,thakurpdhiraj__library_management_system,1.0,0.5,0.6667,0,1.0,0.5,0.6667,0,client-frontend/src/components/user/orders/history/MyOrdersHistory.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/ClientOrderController.java,client-frontend/src/components/user/orders/history/MyOrdersHistory.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/ClientOrderController.java | order/src/main/java/com/dhitha/lms/order/controller/BookOrderController.java | order/src/main/java/com/dhitha/lms/order/service/BookOrderHistoryServiceImpl.java,GET /orders/me/history,GET /orders/me/history | GET /v1/users/{userId}/history,1,0
usecase_v1_0020_path,thakurpdhiraj__library_management_system,1.0,0.25,0.4,0,1.0,0.5,0.6667,0,client-frontend/src/components/user/orders/utility/FilterOrder.vue,client-frontend/src/components/user/orders/utility/FilterOrder.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/ClientOrderController.java | order/src/main/java/com/dhitha/lms/order/controller/BookOrderController.java | order/src/main/java/com/dhitha/lms/order/service/BookOrderServiceImpl.java,GET /orders/me/overdue/return | GET /orders/me/overdue/collect,GET /orders/me/overdue/return | GET /orders/me/overdue/collect | GET /v1/overdue/return?userId=... | GET /v1/overdue/collect?userId=...,1,0
usecase_v1_0021_path,thakurpdhiraj__library_management_system,1.0,1.0,1.0,1,0.6,0.5,0.5455,0,client-frontend/src/components/admin/orders/FindOrders.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/admin/ClientOrderAdminController.java | order/src/main/java/com/dhitha/lms/order/controller/BookOrderController.java,client-frontend/src/components/admin/orders/FindOrders.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/admin/ClientOrderAdminController.java | order/src/main/java/com/dhitha/lms/order/controller/BookOrderController.java,GET /admin/orders/{id} | GET /admin/orders/users/{userId} | GET /admin/orders/books/{bookId} | PUT /admin/orders/{id}/collect | PUT /admin/orders/{id}/return,GET /admin/orders/{id} | GET /admin/orders/users/{userId} | GET /admin/orders/books/{bookId} | GET /v1/{id} | GET /v1/users/{userId} | GET /v1/books/{bookId},1,0
usecase_v1_0022_path,thakurpdhiraj__library_management_system,1.0,0.75,0.8571,0,1.0,0.5,0.6667,0,client-frontend/src/components/admin/orders/FindOrders.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/admin/ClientOrderAdminController.java | order/src/main/java/com/dhitha/lms/order/controller/BookOrderController.java,client-frontend/src/components/admin/orders/FindOrders.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/admin/ClientOrderAdminController.java | order/src/main/java/com/dhitha/lms/order/controller/BookOrderController.java | order/src/main/java/com/dhitha/lms/order/service/BookOrderServiceImpl.java,PUT /admin/orders/{id}/collect,PUT /admin/orders/{id}/collect | PUT /v1/{id}/collect,1,0
usecase_v1_0023_path,thakurpdhiraj__library_management_system,1.0,1.0,1.0,1,1.0,0.3333,0.5,0,client-frontend/src/components/admin/orders/FindOrders.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/admin/ClientOrderAdminController.java | order/src/main/java/com/dhitha/lms/order/controller/BookOrderController.java | order/src/main/java/com/dhitha/lms/order/service/BookOrderServiceImpl.java,client-frontend/src/components/admin/orders/FindOrders.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/admin/ClientOrderAdminController.java | order/src/main/java/com/dhitha/lms/order/controller/BookOrderController.java | order/src/main/java/com/dhitha/lms/order/service/BookOrderServiceImpl.java,PUT /admin/orders/{id}/return,PUT /admin/orders/{id}/return | PUT /v1/{id}/return | POST /v1/books/{bookId}/return,1,0
usecase_v1_0024_path,thakurpdhiraj__library_management_system,1.0,0.5,0.6667,0,1.0,0.3333,0.5,0,client-frontend/src/views/LoginView.vue | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/ClientAuthController.java,client-frontend/src/views/LoginView.vue | client-frontend/src/router/router.js | client-backend/src/main/java/com/dhitha/lms/clientbackend/controller/ClientAuthController.java | auth/src/main/java/com/dhitha/lms/auth/controller/AuthController.java,POST /auth/login,POST /auth/login | POST /validate | POST /v1/validate,1,0
usecase_v1_0025_path,abdulwahid880__School-Management-system-in-laravel-,1.0,1.0,1.0,1,1.0,1.0,1.0,1,routes/web.php | app/Http/Controllers/SchoolController.php | app/School.php,routes/web.php | app/Http/Controllers/SchoolController.php | app/School.php,GET /schools | POST /schools | GET /schools/{id}/edit | PUT /schools/{id},GET /schools | POST /schools | GET /schools/{id}/edit | PUT /schools/{id},1,0
usecase_v1_0026_path,abdulwahid880__School-Management-system-in-laravel-,1.0,0.5,0.6667,0,0.0,0.0,0.0,0,routes/web.php | app/Http/Controllers/UserController.php,routes/web.php | app/Http/Controllers/UserController.php | app/User.php | app/StudentInfo.php,,GET /register/student | POST /register/student | GET /register/teacher | POST /register/teacher | POST /register/accountant | POST /register/librarian,1,0
usecase_v1_0027_path,abdulwahid880__School-Management-system-in-laravel-,1.0,0.5,0.6667,0,1.0,0.3333,0.5,0,routes/web.php | app/Http/Controllers/MyclassController.php,routes/web.php | app/Http/Controllers/MyclassController.php | app/Http/Controllers/SectionController.php | app/Http/Controllers/SchoolController.php,POST /school/add-class,POST /school/add-class | POST /school/add-section | POST /school/add-department,1,0
usecase_v1_0028_path,abdulwahid880__School-Management-system-in-laravel-,1.0,0.6667,0.8,0,1.0,0.3333,0.5,0,routes/web.php | app/Http/Controllers/AttendanceController.php,routes/web.php | app/Http/Controllers/AttendanceController.php | app/Attendance.php,POST /attendance/take-attendance,GET /attendances/{section_id} | GET /attendances/students/{teacher_id}/{course_id}/{exam_id}/{section_id} | POST /attendance/take-attendance,1,0
usecase_v1_0029_path,abdulwahid880__School-Management-system-in-laravel-,1.0,0.6667,0.8,0,1.0,1.0,1.0,1,app/Http/Controllers/AttendanceController.php | routes/web.php,routes/web.php | app/Http/Controllers/AttendanceController.php | app/Attendance.php,GET /attendance/adjust/{student_id} | POST /attendance/adjust,GET /attendance/adjust/{student_id} | POST /attendance/adjust,1,0
usecase_v1_0030_path,abdulwahid880__School-Management-system-in-laravel-,1.0,0.6667,0.8,0,1.0,1.0,1.0,1,routes/web.php | app/Http/Controllers/GradeController.php,routes/web.php | app/Http/Controllers/GradeController.php | app/Grade.php,GET /grades/t/{teacher_id}/{course_id}/{exam_id}/{section_id} | POST /grades/calculate-marks | POST /grades/save-grade,GET /grades/t/{teacher_id}/{course_id}/{exam_id}/{section_id} | POST /grades/calculate-marks | POST /grades/save-grade,1,0
usecase_v1_0031_path,abdulwahid880__School-Management-system-in-laravel-,1.0,0.6667,0.8,0,1.0,1.0,1.0,1,routes/web.php | app/Http/Controllers/GradeController.php,routes/web.php | app/Http/Controllers/GradeController.php | app/Grade.php,GET /grades/{student_id},GET /grades/{student_id},1,0
usecase_v1_0032_path,abdulwahid880__School-Management-system-in-laravel-,1.0,1.0,1.0,1,1.0,1.0,1.0,1,routes/web.php | app/Http/Controllers/FeeController.php | app/Fee.php,routes/web.php | app/Http/Controllers/FeeController.php | app/Fee.php,GET /fees/all | GET /fees/create | POST /fees/create,GET /fees/all | GET /fees/create | POST /fees/create,1,0
usecase_v1_0033_path,abdulwahid880__School-Management-system-in-laravel-,1.0,1.0,1.0,1,1.0,1.0,1.0,1,routes/web.php | app/Http/Controllers/AccountController.php | app/Account.php | app/AccountSector.php,routes/web.php | app/Http/Controllers/AccountController.php | app/Account.php | app/AccountSector.php,GET /accounts/sectors | POST /accounts/create-sector | GET /accounts/income | POST /accounts/create-income | GET /accounts/expense | POST /accounts/create-expense,GET /accounts/sectors | POST /accounts/create-sector | GET /accounts/income | POST /accounts/create-income | GET /accounts/expense | POST /accounts/create-expense,1,0
usecase_v1_0034_path,abdulwahid880__School-Management-system-in-laravel-,1.0,0.6667,0.8,0,1.0,0.5,0.6667,0,routes/web.php | app/Http/Controllers/ExamController.php,routes/web.php | app/Http/Controllers/ExamController.php | app/Exam.php,GET /exams/create | POST /exams/create,GET /exams | GET /exams/create | POST /exams/create | POST /exams/activate-exam,1,0
usecase_v1_0035_path,abdulwahid880__School-Management-system-in-laravel-,1.0,0.25,0.4,0,0.0,0.0,0.0,0,app/Http/Controllers/NoticeController.php,routes/web.php | app/Http/Controllers/SyllabusController.php | app/Http/Controllers/NoticeController.php | app/Http/Controllers/EventController.php,,GET /academic/syllabus | GET /academic/notice | GET /academic/event | GET /academic/routine | GET /academic/remove/notice/{id},1,0
usecase_v1_0036_path,abdulwahid880__School-Management-system-in-laravel-,1.0,1.0,1.0,1,1.0,1.0,1.0,1,routes/web.php | app/Http/Controllers/Library/BookController.php | app/Book.php,routes/web.php | app/Http/Controllers/Library/BookController.php | app/Book.php,GET /library/books | POST /library/books | GET /library/books/{book}/edit | PUT /library/books/{book} | DELETE /library/books/{book},GET /library/books | POST /library/books | GET /library/books/{book}/edit | PUT /library/books/{book} | DELETE /library/books/{book},1,0
usecase_v1_0037_path,abdulwahid880__School-Management-system-in-laravel-,1.0,0.6667,0.8,0,1.0,0.75,0.8571,0,routes/web.php | app/Http/Controllers/IssuedbookController.php,routes/web.php | app/Http/Controllers/IssuedbookController.php | app/Issuedbook.php,GET /library/issue-books | POST /library/issue-books | GET /library/issued-books,GET /library/issue-books | POST /library/issue-books | GET /library/issued-books | POST /library/save_as_returned,1,0
usecase_v1_0038_path,abdulwahid880__School-Management-system-in-laravel-,1.0,0.5,0.6667,0,1.0,1.0,1.0,1,routes/web.php | app/Http/Controllers/UploadController.php,routes/web.php | app/Http/Controllers/UploadController.php | app/Imports/StudentsImport.php | app/Imports/TeachersImport.php,POST /users/import/user-xlsx | GET /users/export/students-xlsx,POST /users/import/user-xlsx | GET /users/export/students-xlsx,1,0
usecase_v1_0039_path,4jean__lav_sms,1.0,1.0,1.0,1,1.0,1.0,1.0,1,routes/web.php | app/Http/Controllers/SupportTeam/StudentRecordController.php | app/Models/StudentRecord.php,routes/web.php | app/Http/Controllers/SupportTeam/StudentRecordController.php | app/Models/StudentRecord.php,GET /students | POST /students | GET /students/{id}/edit | PUT /students/{id} | DELETE /students/{id} | GET /students/reset_pass/{st_id},GET /students | POST /students | GET /students/{id}/edit | PUT /students/{id} | DELETE /students/{id} | GET /students/reset_pass/{st_id},1,0
usecase_v1_0040_path,4jean__lav_sms,1.0,1.0,1.0,1,1.0,1.0,1.0,1,routes/web.php | app/Http/Controllers/SupportTeam/PromotionController.php,routes/web.php | app/Http/Controllers/SupportTeam/PromotionController.php,POST /students/promote_selector | GET /students/promotion/{fc?}/{fs?}/{tc?}/{ts?} | POST /students/promote/{fc}/{fs}/{tc}/{ts},POST /students/promote_selector | GET /students/promotion/{fc?}/{fs?}/{tc?}/{ts?} | POST /students/promote/{fc}/{fs}/{tc}/{ts},1,0
usecase_v1_0041_path,4jean__lav_sms,1.0,1.0,1.0,1,0.5,0.4,0.4444,0,routes/web.php | app/Http/Controllers/SupportTeam/TimeTableController.php,routes/web.php | app/Http/Controllers/SupportTeam/TimeTableController.php,GET /timetables | POST /timetables | PUT /timetables/{tt} | DELETE /timetables/{tt},GET /timetables | POST /timetables | GET /timetables/records/manage/{ttr} | POST /timetables/records | GET /timetables/records/print/{ttr},1,0
usecase_v1_0042_path,4jean__lav_sms,1.0,1.0,1.0,1,1.0,1.0,1.0,1,routes/web.php | app/Http/Controllers/SupportTeam/PaymentController.php,routes/web.php | app/Http/Controllers/SupportTeam/PaymentController.php,GET /payments/manage/{class_id?} | POST /payments/pay_now/{id} | GET /payments/invoice/{id}/{year?} | GET /payments/receipts/{id} | GET /payments/pdf_receipts/{id},GET /payments/manage/{class_id?} | POST /payments/pay_now/{id} | GET /payments/invoice/{id}/{year?} | GET /payments/receipts/{id} | GET /payments/pdf_receipts/{id},1,0
usecase_v1_0043_path,4jean__lav_sms,1.0,1.0,1.0,1,1.0,0.8,0.8889,0,routes/web.php | app/Http/Controllers/SupportTeam/MarkController.php,routes/web.php | app/Http/Controllers/SupportTeam/MarkController.php,GET /marks/manage/{exam}/{class}/{section}/{subject} | PUT /marks/update/{exam}/{class}/{section}/{subject} | PUT /marks/comment_update/{exr_id} | PUT /marks/skills_update/{skill}/{exr_id},GET /marks | GET /marks/manage/{exam}/{class}/{section}/{subject} | PUT /marks/update/{exam}/{class}/{section}/{subject} | PUT /marks/comment_update/{exr_id} | PUT /marks/skills_update/{skill}/{exr_id},1,0
usecase_v1_0044_path,4jean__lav_sms,1.0,1.0,1.0,1,1.0,0.75,0.8571,0,routes/web.php | app/Http/Controllers/SupportTeam/MarkController.php,routes/web.php | app/Http/Controllers/SupportTeam/MarkController.php,GET /marks/select_year/{id} | POST /marks/select_year/{id} | GET /marks/show/{id}/{year},GET /marks/select_year/{id} | POST /marks/select_year/{id} | GET /marks/show/{id}/{year} | GET /marks/print/{id}/{exam_id}/{year},1,0
usecase_v1_0045_path,4jean__lav_sms,1.0,1.0,1.0,1,1.0,1.0,1.0,1,routes/web.php | app/Http/Controllers/SupportTeam/MarkController.php,routes/web.php | app/Http/Controllers/SupportTeam/MarkController.php,GET /marks/tabulation/{exam?}/{class?}/{sec_id?} | POST /marks/tabulation | GET /marks/tabulation/print/{exam}/{class}/{sec_id},GET /marks/tabulation/{exam?}/{class?}/{sec_id?} | POST /marks/tabulation | GET /marks/tabulation/print/{exam}/{class}/{sec_id},1,0
usecase_v1_0046_path,4jean__lav_sms,1.0,0.5,0.6667,0,1.0,0.2,0.3333,0,routes/web.php | app/Http/Controllers/SupportTeam/MyClassController.php,routes/web.php | app/Http/Controllers/SupportTeam/MyClassController.php | app/Http/Controllers/SupportTeam/SectionController.php | app/Http/Controllers/SupportTeam/SubjectController.php,RESOURCE /classes,RESOURCE /classes | RESOURCE /sections | RESOURCE /subjects | RESOURCE /grades | RESOURCE /exams,1,0
usecase_v1_0047_path,4jean__lav_sms,1.0,1.0,1.0,1,0.0,0.0,0.0,0,routes/web.php | app/Http/Controllers/MyParent/MyController.php,routes/web.php | app/Http/Controllers/MyParent/MyController.php,,GET /my_children,1,0
usecase_v1_0048_path,4jean__lav_sms,1.0,1.0,1.0,1,1.0,0.6667,0.8,0,routes/web.php | app/Http/Controllers/MyAccountController.php,routes/web.php | app/Http/Controllers/MyAccountController.php,GET /my_account | PUT /my_account,GET /my_account | PUT /my_account | PUT /my_account/change_password,1,0
usecase_v1_0049_path,4jean__lav_sms,1.0,1.0,1.0,1,1.0,0.6667,0.8,0,routes/web.php | app/Http/Controllers/SupportTeam/PinController.php,routes/web.php | app/Http/Controllers/SupportTeam/PinController.php,GET /pins | POST /pins | GET /pins/enter/{id} | POST /pins/verify/{id},GET /pins/create | GET /pins | POST /pins | GET /pins/enter/{id} | POST /pins/verify/{id} | DELETE /pins,1,0
usecase_v1_0050_path,openfun__marsha,1.0,0.5,0.6667,0,1.0,0.3333,0.5,0,src/backend/marsha/core/api/video.py | src/backend/marsha/urls.py,src/backend/marsha/urls.py | src/backend/marsha/core/api/video.py | src/backend/marsha/core/models/video.py | src/backend/marsha/core/serializers/video.py,POST /api/videos,POST /api/videos | GET /lti/select/video | GET /lti/videos/<uuid>,1,0
usecase_v1_0051_path,openfun__marsha,1.0,0.6667,0.8,0,1.0,1.0,1.0,1,src/backend/marsha/urls.py | src/backend/marsha/core/api/video.py,src/backend/marsha/urls.py | src/backend/marsha/core/api/video.py | src/backend/marsha/core/serializers/file.py,POST /api/videos/{id}/initiate-upload,POST /api/videos/{id}/initiate-upload,1,0
usecase_v1_0052_path,openfun__marsha,1.0,0.5,0.6667,0,1.0,1.0,1.0,1,src/backend/marsha/urls.py | src/backend/marsha/core/api/video.py,src/backend/marsha/urls.py | src/backend/marsha/core/api/video.py | src/backend/marsha/core/serializers/video.py | src/backend/marsha/core/models/video.py,POST /api/videos/{id}/upload-ended,POST /api/videos/{id}/upload-ended,1,0
usecase_v1_0053_path,openfun__marsha,1.0,0.6667,0.8,0,1.0,0.5,0.6667,0,src/backend/marsha/urls.py | src/backend/marsha/core/views.py,src/backend/marsha/urls.py | src/backend/marsha/core/views.py | src/backend/marsha/core/serializers/video.py,GET /lti/videos/<uuid>,GET /lti/videos/<uuid> | GET /videos/<uuid>,1,0
usecase_v1_0054_path,openfun__marsha,1.0,0.5,0.6667,0,1.0,1.0,1.0,1,src/backend/marsha/core/api/timed_text_track.py | src/backend/marsha/core/models/video.py,src/backend/marsha/urls.py | src/backend/marsha/core/api/timed_text_track.py | src/backend/marsha/core/models/video.py | src/backend/marsha/core/serializers/timed_text_track.py,POST /api/videos/{video_id}/timedtexttracks | POST /api/videos/{video_id}/timedtexttracks/{id}/initiate-upload | POST /api/videos/{video_id}/timedtexttracks/{id}/upload-ended,POST /api/videos/{video_id}/timedtexttracks | POST /api/videos/{video_id}/timedtexttracks/{id}/initiate-upload | POST /api/videos/{video_id}/timedtexttracks/{id}/upload-ended,1,0
usecase_v1_0055_path,openfun__marsha,1.0,0.25,0.4,0,1.0,1.0,1.0,1,src/backend/marsha/core/api/thumbnail.py,src/backend/marsha/urls.py | src/backend/marsha/core/api/thumbnail.py | src/backend/marsha/core/models/video.py | src/backend/marsha/websocket/utils/channel_layers_utils.py,POST /api/videos/{video_id}/thumbnails | POST /api/videos/{video_id}/thumbnails/{id}/initiate-upload | POST /api/videos/{video_id}/thumbnails/{id}/upload-ended,POST /api/videos/{video_id}/thumbnails | POST /api/videos/{video_id}/thumbnails/{id}/initiate-upload | POST /api/videos/{video_id}/thumbnails/{id}/upload-ended,1,0
usecase_v1_0056_path,openfun__marsha,1.0,0.75,0.8571,0,0.3333,0.3333,0.3333,0,src/backend/marsha/core/api/file.py | src/backend/marsha/core/models/file.py | src/backend/marsha/core/serializers/file.py,src/backend/marsha/urls.py | src/backend/marsha/core/api/file.py | src/backend/marsha/core/models/file.py | src/backend/marsha/core/serializers/file.py,POST /api/documents | POST /api/documents/<uuid>/initiate-upload | POST /api/documents/<uuid>/upload-ended,POST /api/documents | GET /lti/documents/<uuid> | GET /documents/<uuid>,1,0
usecase_v1_0057_path,openfun__marsha,1.0,0.5,0.6667,0,1.0,1.0,1.0,1,src/backend/marsha/core/api/file.py | src/backend/marsha/core/serializers/file.py,src/backend/marsha/urls.py | src/backend/marsha/core/api/file.py | src/backend/marsha/core/serializers/file.py | src/backend/marsha/core/models/file.py,POST /api/documents/{id}/initiate-upload | POST /api/documents/{id}/upload-ended,POST /api/documents/{id}/initiate-upload | POST /api/documents/{id}/upload-ended,1,0
usecase_v1_0058_path,openfun__marsha,1.0,0.75,0.8571,0,0.75,0.75,0.75,0,src/backend/marsha/core/api/playlist.py | src/backend/marsha/core/models/playlist.py | src/backend/marsha/core/serializers/playlist.py,src/backend/marsha/urls.py | src/backend/marsha/core/api/playlist.py | src/backend/marsha/core/models/playlist.py | src/backend/marsha/core/serializers/playlist.py,GET /api/playlists | POST /api/playlists | PATCH /api/playlists/{id} | DELETE /api/playlists/{id},GET /api/playlists | POST /api/playlists | PATCH /api/playlists/{id} | POST /api/playlists/{id}/claim_by_lti,1,0
