task_id,repository_folder,framework,domain,code_path_count,api_path_count,test_path_count,code_path_bin,api_path_bin,has_test_evidence,confidence_bin,confidence,exact_name_match,substring_name_match,name_token_f1,description_token_f1,soft_success,code_path_f1,api_path_f1,code_path_exact,api_path_exact
usecase_v1_0043,4jean__lav_sms,Laravel/PHP,School management,3,5,0,2-3,4+,no,0.90-1.00,0.95,1.0,1.0,1.0,0.6667,1.0,1.0,0.8889,1.0,0.0
usecase_v1_0044,4jean__lav_sms,Laravel/PHP,School management,3,4,0,2-3,4+,no,0.90-1.00,0.9,0.0,0.0,0.0,0.32,0.0,1.0,0.8571,1.0,0.0
usecase_v1_0045,4jean__lav_sms,Laravel/PHP,School management,3,3,0,2-3,2-3,no,0.90-1.00,0.9,0.0,0.0,0.5714,0.5926,0.0,1.0,1.0,1.0,1.0
usecase_v1_0046,4jean__lav_sms,Laravel/PHP,School management,6,5,0,4+,4+,no,0.90-1.00,0.9,0.0,0.0,0.2,0.5625,0.0,0.6667,0.3333,0.0,0.0
usecase_v1_0047,4jean__lav_sms,Laravel/PHP,School management,3,1,0,2-3,1,no,0.90-1.00,0.95,0.0,0.0,0.8,0.1905,1.0,1.0,0.0,1.0,0.0
usecase_v1_0048,4jean__lav_sms,Laravel/PHP,School management,2,3,0,2-3,2-3,no,0.90-1.00,0.95,0.0,0.0,0.3333,0.2,0.0,1.0,0.8,1.0,0.0
usecase_v1_0049,4jean__lav_sms,Laravel/PHP,School management,3,6,0,2-3,4+,no,0.90-1.00,0.95,0.0,0.0,0.3333,0.4286,0.0,1.0,0.8,1.0,0.0
usecase_v1_0050,openfun__marsha,Django/Python,Educational media,4,3,5,4+,2-3,yes,0.90-1.00,0.9,0.0,1.0,0.8,0.4167,1.0,0.6667,0.5,0.0,0.0
usecase_v1_0051,openfun__marsha,Django/Python,Educational media,4,1,4,4+,1,yes,0.90-1.00,0.9,1.0,1.0,1.0,0.4167,1.0,0.8,1.0,0.0,1.0
usecase_v1_0052,openfun__marsha,Django/Python,Educational media,4,1,4,4+,1,yes,non-numeric,0.0,0.0,0.0,0.5714,0.4444,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0053,openfun__marsha,Django/Python,Educational media,5,2,5,4+,2-3,yes,0.90-1.00,0.9,0.0,0.0,0.5714,0.2963,0.0,0.8,0.6667,0.0,0.0
usecase_v1_0054,openfun__marsha,Django/Python,Educational media,4,3,7,4+,2-3,yes,non-numeric,0.0,0.0,0.0,0.5714,0.4615,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0055,openfun__marsha,Django/Python,Educational media,4,3,6,4+,2-3,yes,0.90-1.00,0.95,0.0,0.0,0.6667,0.6316,0.0,0.4,1.0,0.0,1.0
usecase_v1_0056,openfun__marsha,Django/Python,Educational media,4,3,5,4+,2-3,yes,non-numeric,0.0,0.0,1.0,0.8,0.4762,1.0,0.8571,0.3333,0.0,0.0
usecase_v1_0057,openfun__marsha,Django/Python,Educational media,4,2,5,4+,2-3,yes,0.90-1.00,0.95,0.0,0.0,0.5,0.3226,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0058,openfun__marsha,Django/Python,Educational media,4,4,6,4+,4+,yes,0.90-1.00,0.9,0.0,1.0,0.5,0.2857,0.0,0.8571,0.75,0.0,0.0
usecase_v1_0059,openfun__marsha,Django/Python,Educational media,4,3,5,4+,2-3,yes,0.90-1.00,0.9,0.0,1.0,0.6667,0.1739,0.0,0.8571,1.0,0.0,1.0
usecase_v1_0060,openfun__marsha,Django/Python,Educational media,4,2,5,4+,2-3,yes,0.90-1.00,0.9,0.0,0.0,0.6667,0.7368,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0061,openfun__marsha,Django/Python,Educational media,4,3,6,4+,2-3,yes,0.90-1.00,0.95,0.0,0.0,0.4444,0.5,0.0,1.0,1.0,1.0,1.0
usecase_v1_0062,openfun__marsha,Django/Python,Educational media,4,1,6,4+,1,yes,0.90-1.00,0.9,0.0,0.0,0.5714,0.2308,0.0,0.8,1.0,0.0,1.0
usecase_v1_0063,openfun__marsha,Django/Python,Educational media,5,3,8,4+,2-3,yes,0.90-1.00,0.9,0.0,0.0,0.0,0.2,0.0,1.0,0.8,1.0,0.0
usecase_v1_0064,openfun__marsha,Django/Python,Educational media,4,3,7,4+,2-3,yes,0.90-1.00,0.95,1.0,1.0,1.0,0.5,1.0,0.8,1.0,0.0,1.0
usecase_v1_0065,mwinamijr__django-scms,Django/Python,School management,4,2,0,4+,2-3,no,0.90-1.00,0.95,0.0,0.0,0.75,0.25,1.0,0.6667,1.0,0.0,1.0
usecase_v1_0066,mwinamijr__django-scms,Django/Python,School management,4,3,0,4+,2-3,no,0.90-1.00,0.9,0.0,0.0,0.0,0.1429,0.0,0.6667,0.5,0.0,0.0
usecase_v1_0067,mwinamijr__django-scms,Django/Python,School management,3,2,0,2-3,2-3,no,0.90-1.00,0.9,0.0,0.0,0.0,0.2,0.0,0.8,1.0,0.0,1.0
usecase_v1_0068,mwinamijr__django-scms,Django/Python,School management,4,2,0,4+,2-3,no,0.90-1.00,0.9,0.0,0.0,0.0,0.3,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0069,mwinamijr__django-scms,Django/Python,School management,4,2,0,4+,2-3,no,0.90-1.00,0.9,0.0,0.0,0.4,0.2143,0.0,0.8571,1.0,0.0,1.0
usecase_v1_0070,mwinamijr__django-scms,Django/Python,School management,3,1,0,2-3,1,no,0.90-1.00,0.95,1.0,1.0,1.0,0.4138,1.0,0.8,1.0,0.0,1.0
usecase_v1_0071,mwinamijr__django-scms,Django/Python,School management,3,6,0,2-3,4+,no,0.90-1.00,0.9,0.0,0.0,0.0,0.2105,0.0,1.0,0.2857,1.0,0.0
usecase_v1_0072,mwinamijr__django-scms,Django/Python,School management,2,3,0,2-3,2-3,no,0.90-1.00,0.95,0.0,0.0,0.5,0.3636,0.0,0.6667,0.0,0.0,0.0
usecase_v1_0073,mwinamijr__django-scms,Django/Python,School management,4,4,0,4+,4+,no,0.90-1.00,0.9,0.0,0.0,0.2857,0.375,0.0,0.6667,0.4,0.0,0.0
usecase_v1_0074,mwinamijr__django-scms,Django/Python,School management,4,4,0,4+,4+,no,non-numeric,0.0,0.0,0.0,0.2222,0.2963,0.0,0.6667,0.8571,0.0,0.0
usecase_v1_0075,mwinamijr__django-scms,Django/Python,School management,3,4,0,2-3,4+,no,0.90-1.00,0.9,0.0,0.0,0.5714,0.56,0.0,0.8,0.8571,0.0,0.0
usecase_v1_0076,mwinamijr__django-scms,Django/Python,School management,3,3,0,2-3,2-3,no,0.90-1.00,0.9,0.0,0.0,0.4,0.1818,0.0,0.8,0.4,0.0,0.0
usecase_v1_0077,mwinamijr__django-scms,Django/Python,School management,3,2,0,2-3,2-3,no,non-numeric,0.0,1.0,1.0,1.0,0.2,1.0,0.8,0.6667,0.0,0.0
usecase_v1_0078,mwinamijr__django-scms,Django/Python,School management,3,5,0,2-3,4+,no,0.90-1.00,0.9,0.0,0.0,0.25,0.4,0.0,0.8,0.75,0.0,0.0
usecase_v1_0079,tough-dev-school__education-backend,TypeScript/Node,Learning management,4,1,3,4+,1,yes,0.90-1.00,0.9,0.0,0.0,0.2222,0.3125,0.0,0.8571,1.0,0.0,1.0
usecase_v1_0080,tough-dev-school__education-backend,TypeScript/Node,Learning management,4,1,4,4+,1,yes,0.90-1.00,0.9,0.0,0.0,0.4,0.6207,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0081,tough-dev-school__education-backend,TypeScript/Node,Learning management,3,1,4,2-3,1,yes,non-numeric,0.0,1.0,1.0,1.0,0.3871,1.0,0.8,1.0,0.0,1.0
usecase_v1_0082,tough-dev-school__education-backend,TypeScript/Node,Learning management,5,1,4,4+,1,yes,0.90-1.00,0.95,1.0,1.0,1.0,0.4091,1.0,0.4,1.0,0.0,1.0
usecase_v1_0083,tough-dev-school__education-backend,TypeScript/Node,Learning management,3,1,4,2-3,1,yes,0.90-1.00,0.95,0.0,0.0,0.6667,0.6486,0.0,0.8,1.0,0.0,1.0
usecase_v1_0084,tough-dev-school__education-backend,TypeScript/Node,Learning management,3,2,4,2-3,2-3,yes,non-numeric,0.0,0.0,0.0,0.6667,0.2857,0.0,0.8,0.6667,0.0,0.0
usecase_v1_0085,tough-dev-school__education-backend,TypeScript/Node,Learning management,3,2,3,2-3,2-3,yes,0.90-1.00,0.9,0.0,0.0,0.3333,0.1667,0.0,0.5,0.6667,0.0,0.0
usecase_v1_0086,tough-dev-school__education-backend,TypeScript/Node,Learning management,3,2,3,2-3,2-3,yes,0.90-1.00,0.95,0.0,0.0,0.4,0.3333,0.0,0.8,1.0,0.0,1.0
usecase_v1_0087,tough-dev-school__education-backend,TypeScript/Node,Learning management,4,2,4,4+,2-3,yes,0.90-1.00,0.9,0.0,0.0,0.2857,0.2609,0.0,0.6667,0.6667,0.0,0.0
usecase_v1_0088,tough-dev-school__education-backend,TypeScript/Node,Learning management,3,2,4,2-3,2-3,yes,0.90-1.00,0.9,0.0,0.0,0.25,0.4545,0.0,0.5,0.6667,0.0,0.0
usecase_v1_0089,tough-dev-school__education-backend,TypeScript/Node,Learning management,3,4,4,2-3,4+,yes,non-numeric,0.0,1.0,1.0,1.0,0.3333,1.0,0.5,1.0,0.0,1.0
usecase_v1_0090,tough-dev-school__education-backend,TypeScript/Node,Learning management,2,1,3,2-3,1,yes,non-numeric,0.0,1.0,1.0,1.0,0.4667,1.0,0.6667,1.0,0.0,1.0
usecase_v1_0091,tough-dev-school__education-backend,TypeScript/Node,Learning management,2,1,4,2-3,1,yes,non-numeric,0.0,0.0,0.0,0.0,0.1818,0.0,1.0,1.0,1.0,1.0
usecase_v1_0092,tough-dev-school__education-backend,TypeScript/Node,Learning management,3,2,5,2-3,2-3,yes,non-numeric,0.0,0.0,0.0,0.3333,0.2857,0.0,0.8,0.6667,0.0,0.0
usecase_v1_0093,tough-dev-school__education-backend,TypeScript/Node,Learning management,3,1,4,2-3,1,yes,0.90-1.00,0.9,0.0,0.0,0.8,0.2,1.0,0.8,1.0,0.0,1.0
usecase_v1_0094,tough-dev-school__education-backend,TypeScript/Node,Learning management,3,6,6,2-3,4+,yes,non-numeric,0.0,0.0,0.0,0.0,0.4286,0.0,0.8,0.5,0.0,0.0
usecase_v1_0095,tough-dev-school__education-backend,TypeScript/Node,Learning management,4,4,5,4+,4+,yes,0.90-1.00,0.95,0.0,0.0,0.6667,0.4242,0.0,0.8571,1.0,0.0,1.0
usecase_v1_0096,knowledgefactory4u__librarymanagementsystem,Spring/Java,Library management,2,1,0,2-3,1,no,0.90-1.00,0.95,0.0,0.0,0.6,0.5,0.0,1.0,1.0,1.0,1.0
usecase_v1_0097,knowledgefactory4u__librarymanagementsystem,Spring/Java,Library management,3,2,0,2-3,2-3,no,0.90-1.00,0.9,0.0,0.0,0.3333,0.25,0.0,0.8,1.0,0.0,1.0
usecase_v1_0098,knowledgefactory4u__librarymanagementsystem,Spring/Java,Library management,2,1,0,2-3,1,no,0.90-1.00,0.95,1.0,1.0,1.0,0.3333,1.0,0.6667,1.0,0.0,1.0
usecase_v1_0099,knowledgefactory4u__librarymanagementsystem,Spring/Java,Library management,3,2,0,2-3,2-3,no,0.90-1.00,0.95,0.0,0.0,0.5714,0.3636,0.0,0.8,1.0,0.0,1.0
usecase_v1_0100,knowledgefactory4u__librarymanagementsystem,Spring/Java,Library management,2,2,0,2-3,2-3,no,non-numeric,0.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0
usecase_v1_0101,knowledgefactory4u__librarymanagementsystem,Spring/Java,Library management,2,1,0,2-3,1,no,non-numeric,0.0,0.0,0.0,0.5,0.5263,0.0,1.0,1.0,1.0,1.0
usecase_v1_0102,knowledgefactory4u__librarymanagementsystem,Spring/Java,Library management,3,7,0,2-3,4+,no,0.90-1.00,0.9,1.0,1.0,1.0,0.3158,1.0,0.8,0.8333,0.0,0.0
usecase_v1_0103,knowledgefactory4u__librarymanagementsystem,Spring/Java,Library management,3,7,0,2-3,4+,no,0.90-1.00,0.95,1.0,1.0,1.0,0.4444,1.0,0.8,0.8333,0.0,0.0
usecase_v1_0104,knowledgefactory4u__librarymanagementsystem,Spring/Java,Library management,3,7,0,2-3,4+,no,0.90-1.00,0.95,1.0,1.0,1.0,0.3158,1.0,0.8,0.8333,0.0,0.0
usecase_v1_0105,knowledgefactory4u__librarymanagementsystem,Spring/Java,Library management,2,1,0,2-3,1,no,non-numeric,0.0,0.0,0.0,0.8889,0.4762,1.0,1.0,1.0,1.0,1.0
usecase_v1_0106,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,2,0,4+,2-3,no,non-numeric,0.0,0.0,0.0,0.3333,0.5217,0.0,0.8571,0.6667,0.0,0.0
usecase_v1_0107,SkyCascade__SkyLearn,TypeScript/Node,Learning management,3,3,0,2-3,2-3,no,0.90-1.00,0.9,0.0,0.0,0.3333,0.2222,0.0,0.8,0.5,0.0,0.0
usecase_v1_0108,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,1,0,4+,1,no,0.90-1.00,0.95,0.0,0.0,0.6667,0.6316,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0109,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,3,0,4+,2-3,no,0.90-1.00,0.9,1.0,1.0,1.0,0.2857,1.0,0.6667,1.0,0.0,1.0
usecase_v1_0110,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,4,0,4+,4+,no,0.90-1.00,0.95,0.0,0.0,0.8,0.3636,1.0,0.6667,1.0,0.0,1.0
usecase_v1_0111,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,4,0,4+,4+,no,0.90-1.00,0.9,1.0,1.0,1.0,0.2222,1.0,0.6667,1.0,0.0,1.0
usecase_v1_0112,SkyCascade__SkyLearn,TypeScript/Node,Learning management,5,5,1,4+,4+,yes,non-numeric,0.0,1.0,1.0,1.0,0.2,1.0,0.6667,1.0,0.0,1.0
usecase_v1_0113,SkyCascade__SkyLearn,TypeScript/Node,Learning management,5,5,1,4+,4+,yes,0.90-1.00,0.9,1.0,1.0,1.0,0.3158,1.0,0.6667,1.0,0.0,1.0
usecase_v1_0114,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,1,0,4+,1,no,0.90-1.00,0.95,0.0,0.0,0.0,0.3529,0.0,0.8571,1.0,0.0,1.0
usecase_v1_0115,SkyCascade__SkyLearn,TypeScript/Node,Learning management,3,5,0,2-3,4+,no,0.90-1.00,0.95,1.0,1.0,1.0,0.3529,1.0,1.0,1.0,1.0,1.0
usecase_v1_0116,SkyCascade__SkyLearn,TypeScript/Node,Learning management,3,4,0,2-3,4+,no,0.90-1.00,0.9,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0
usecase_v1_0117,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,4,0,4+,4+,no,non-numeric,0.0,0.0,0.0,0.0,0.6087,0.0,0.8571,0.25,0.0,0.0
usecase_v1_0118,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,3,0,4+,2-3,no,0.90-1.00,0.9,0.0,0.0,0.3333,0.4,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0119,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,4,0,4+,4+,no,0.90-1.00,0.9,0.0,0.0,0.5714,0.3636,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0120,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,3,0,4+,2-3,no,0.90-1.00,0.9,0.0,0.0,0.2222,0.2222,0.0,0.6667,0.8,0.0,0.0
usecase_v1_0121,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,2,0,4+,2-3,no,0.90-1.00,0.9,0.0,0.0,0.6667,0.3704,0.0,0.8571,1.0,0.0,1.0
usecase_v1_0122,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,2,0,4+,2-3,no,0.90-1.00,0.9,0.0,0.0,0.5,0.25,0.0,0.6667,0.6667,0.0,0.0
usecase_v1_0123,SkyCascade__SkyLearn,TypeScript/Node,Learning management,3,2,0,2-3,2-3,no,0.90-1.00,0.9,0.0,0.0,0.4444,0.25,0.0,0.8,0.6667,0.0,0.0
usecase_v1_0124,SkyCascade__SkyLearn,TypeScript/Node,Learning management,5,3,0,4+,2-3,no,0.90-1.00,0.95,0.0,1.0,0.6667,0.4211,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0125,SkyCascade__SkyLearn,TypeScript/Node,Learning management,5,1,0,4+,1,no,non-numeric,0.0,0.0,0.0,0.2857,0.7368,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0126,SkyCascade__SkyLearn,TypeScript/Node,Learning management,5,1,0,4+,1,no,0.90-1.00,0.9,0.0,1.0,0.5,0.1818,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0127,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,2,0,4+,2-3,no,non-numeric,0.0,0.0,0.0,0.2222,0.08,0.0,0.8571,1.0,0.0,1.0
usecase_v1_0128,SkyCascade__SkyLearn,TypeScript/Node,Learning management,4,1,0,4+,1,no,non-numeric,0.0,1.0,1.0,1.0,0.125,1.0,0.6667,1.0,0.0,1.0
usecase_v1_0129,SkyCascade__SkyLearn,TypeScript/Node,Learning management,5,1,0,4+,1,no,non-numeric,0.0,0.0,0.0,0.8,0.4762,1.0,0.6667,1.0,0.0,1.0
usecase_v1_0130,SkyCascade__SkyLearn,TypeScript/Node,Learning management,3,9,0,2-3,4+,no,0.90-1.00,0.9,0.0,0.0,0.2222,0.4,0.0,0.0,0.5,0.0,0.0
usecase_v1_0131,SkyCascade__SkyLearn,TypeScript/Node,Learning management,3,2,0,2-3,2-3,no,0.90-1.00,0.9,0.0,0.0,0.3333,0.4,0.0,0.8,0.6667,0.0,0.0
usecase_v1_0132,adityagoyal222__django-lms,Django/Python,Learning management,5,3,0,4+,2-3,no,non-numeric,0.0,0.0,0.0,0.0,0.1739,0.0,1.0,1.0,1.0,1.0
usecase_v1_0133,adityagoyal222__django-lms,Django/Python,Learning management,5,1,0,4+,1,no,non-numeric,0.0,1.0,1.0,1.0,0.5,1.0,0.6667,1.0,0.0,1.0
usecase_v1_0134,adityagoyal222__django-lms,Django/Python,Learning management,4,2,0,4+,2-3,no,non-numeric,0.0,0.0,0.0,0.4,0.3333,0.0,0.6667,0.6667,0.0,0.0
usecase_v1_0135,adityagoyal222__django-lms,Django/Python,Learning management,3,1,0,2-3,1,no,non-numeric,0.0,1.0,1.0,1.0,0.8333,1.0,0.8,1.0,0.0,1.0
usecase_v1_0136,adityagoyal222__django-lms,Django/Python,Learning management,3,1,0,2-3,1,no,non-numeric,0.0,1.0,1.0,1.0,0.4,1.0,0.8,1.0,0.0,1.0
