task_id,repository_folder,actor_exact_match,actor_token_f1,exact_name_match,substring_name_match,name_token_f1,description_token_f1,valid_prediction,parse_error,runtime_error,gold_actor,pred_actor,gold_use_case_name,pred_use_case_name
usecase_v1_0066,mwinamijr__django-scms,1,1.0,0,0,0.0,0.1429,1,0,0,Admin,Admin,Manage teacher accounts,Bulk Upload Teachers
usecase_v1_0067,mwinamijr__django-scms,1,1.0,0,0,0.0,0.2,1,0,0,Admin,Admin,Manage accountant accounts,List/Search Accountants
usecase_v1_0068,mwinamijr__django-scms,1,1.0,0,0,0.0,0.3,1,0,0,Admin,Admin,Manage parent accounts,List/Search Parents
usecase_v1_0069,mwinamijr__django-scms,1,1.0,0,0,0.4,0.2143,1,0,0,Admin,Admin,Manage student records,Manage students
usecase_v1_0070,mwinamijr__django-scms,1,1.0,1,1,1.0,0.4138,1,0,0,Admin,Admin,Bulk upload students,Bulk upload students
usecase_v1_0071,mwinamijr__django-scms,1,1.0,0,0,0.0,0.2105,1,0,0,Admin,Admin,Manage academic structure,Bulk Upload Student Classes
usecase_v1_0072,mwinamijr__django-scms,1,1.0,0,0,0.5,0.3636,1,0,0,Admin,Admin,Bulk upload academic data,Bulk upload student classes
usecase_v1_0073,mwinamijr__django-scms,1,1.0,0,0,0.2857,0.375,1,0,0,Accountant,Accountant,Record and allocate student payments,Record Payment
usecase_v1_0074,mwinamijr__django-scms,1,1.0,0,0,0.2222,0.2963,1,0,0,Accountant,Accountant,Manage receipts and student debt overview,Bulk Upload Receipts
usecase_v1_0075,mwinamijr__django-scms,1,1.0,0,0,0.5714,0.56,1,0,0,Accountant,Accountant,Update or reverse debts,Update student debts
usecase_v1_0076,mwinamijr__django-scms,1,1.0,0,0,0.4,0.1818,1,0,0,Teacher,Teacher,Record attendance,Manage teacher attendance
usecase_v1_0077,mwinamijr__django-scms,1,1.0,1,1,1.0,0.2,1,0,0,Admin,Admin,Generate timetable,Generate Timetable
usecase_v1_0078,mwinamijr__django-scms,1,1.0,0,0,0.25,0.4,1,0,0,Admin,Admin,Manage academic calendar events,Bulk Upload School Events
usecase_v1_0079,tough-dev-school__education-backend,1,1.0,0,0,0.2222,0.3125,1,0,0,Visitor,Visitor,View course group offerings,List/Search Courses by Group
usecase_v1_0080,tough-dev-school__education-backend,1,1.0,0,0,0.4,0.6207,1,0,0,Visitor,Visitor,Check course price with promocode,View price with promo code
usecase_v1_0081,tough-dev-school__education-backend,1,1.0,1,1,1.0,0.3871,1,0,0,Visitor,Visitor,Create order draft,Create order draft
usecase_v1_0082,tough-dev-school__education-backend,1,1.0,1,1,1.0,0.4091,1,0,0,Visitor,Visitor,Purchase course,Purchase course
usecase_v1_0083,tough-dev-school__education-backend,1,1.0,0,0,0.6667,0.6486,1,0,0,Learner,Learner,Confirm paid order,Confirm order payment
usecase_v1_0084,tough-dev-school__education-backend,1,1.0,0,0,0.6667,0.2857,1,0,0,Learner,Learner,List purchased courses,View purchased courses
usecase_v1_0085,tough-dev-school__education-backend,1,1.0,0,0,0.3333,0.1667,1,0,0,Learner,Learner,View learning modules,View module detail
usecase_v1_0086,tough-dev-school__education-backend,1,1.0,0,0,0.4,0.3333,1,0,0,Learner,Learner,View lessons,View lesson detail
usecase_v1_0087,tough-dev-school__education-backend,1,1.0,0,0,0.2857,0.2609,1,0,0,Learner,Learner,Read Notion learning material,View material detail
usecase_v1_0088,tough-dev-school__education-backend,1,1.0,0,0,0.25,0.4545,1,0,0,Admin,Admin,Refresh Notion material cache,View material update status
usecase_v1_0089,tough-dev-school__education-backend,1,1.0,1,1,1.0,0.3333,1,0,0,Learner,Learner,Submit homework answer,Submit homework answer
usecase_v1_0090,tough-dev-school__education-backend,1,1.0,1,1,1.0,0.4667,1,0,0,Learner,Learner,React to homework answer,React to homework answer
usecase_v1_0091,tough-dev-school__education-backend,1,1.0,0,0,0.0,0.1818,1,0,0,Learner,Learner,Review homework crosschecks,View crosscheck status
usecase_v1_0092,tough-dev-school__education-backend,1,1.0,0,0,0.3333,0.2857,1,0,0,Learner,Learner,Access diploma records,View diploma detail
usecase_v1_0093,tough-dev-school__education-backend,1,1.0,0,0,0.8,0.2,1,0,0,Admin,Admin,List users,List/Search Users
usecase_v1_0094,tough-dev-school__education-backend,1,1.0,0,0,0.0,0.4286,1,0,0,User,User,Manage authentication and password recovery,Request passwordless login token
usecase_v1_0095,tough-dev-school__education-backend,1,1.0,0,0,0.6667,0.4242,1,0,0,Payment Provider,Payment Provider,Process payment notifications,Receive payment notifications
usecase_v1_0096,knowledgefactory4u__librarymanagementsystem,1,1.0,0,0,0.6,0.5,1,0,0,Admin,Admin,Sign in to library admin panel,Login to Admin Panel
usecase_v1_0097,knowledgefactory4u__librarymanagementsystem,1,1.0,0,0,0.3333,0.25,1,0,0,Admin,Admin,List and paginate books,Manage books
usecase_v1_0098,knowledgefactory4u__librarymanagementsystem,1,1.0,1,1,1.0,0.3333,1,0,0,Admin,Admin,Search books,Search books
usecase_v1_0099,knowledgefactory4u__librarymanagementsystem,1,1.0,0,0,0.5714,0.3636,1,0,0,Admin,Admin,Create book,Create/Add/Register/Save Book
usecase_v1_0100,knowledgefactory4u__librarymanagementsystem,1,1.0,1,1,1.0,0.4,1,0,0,Admin,Admin,Update book,Update book
usecase_v1_0101,knowledgefactory4u__librarymanagementsystem,1,1.0,0,0,0.5,0.5263,1,0,0,Admin,Admin,Delete book,Remove book
usecase_v1_0102,knowledgefactory4u__librarymanagementsystem,1,1.0,1,1,1.0,0.3158,1,0,0,Admin,Admin,Manage authors,Manage authors
usecase_v1_0103,knowledgefactory4u__librarymanagementsystem,1,1.0,1,1,1.0,0.4444,1,0,0,Admin,Admin,Manage categories,Manage categories
usecase_v1_0104,knowledgefactory4u__librarymanagementsystem,1,1.0,1,1,1.0,0.3158,1,0,0,Admin,Admin,Manage publishers,Manage publishers
usecase_v1_0105,knowledgefactory4u__librarymanagementsystem,1,1.0,0,0,0.8889,0.4762,1,0,0,Admin,Admin,Export library data to CSV,Export data to CSV
usecase_v1_0106,SkyCascade__SkyLearn,1,1.0,0,0,0.3333,0.5217,1,0,0,User,User,Register account,Register as a student
usecase_v1_0107,SkyCascade__SkyLearn,1,1.0,0,0,0.3333,0.2222,1,0,0,User,User,Manage profile and password,Change Password
usecase_v1_0108,SkyCascade__SkyLearn,1,1.0,0,0,0.6667,0.6316,1,0,0,Admin,Admin,View admin dashboard analytics,View Dashboard
usecase_v1_0109,SkyCascade__SkyLearn,1,1.0,1,1,1.0,0.2857,1,0,0,Admin,Admin,Manage news and events,Manage News and Events
usecase_v1_0110,SkyCascade__SkyLearn,1,1.0,0,0,0.8,0.3636,1,0,0,Admin,Admin,Manage academic sessions,Manage Sessions
usecase_v1_0111,SkyCascade__SkyLearn,1,1.0,1,1,1.0,0.2222,1,0,0,Admin,Admin,Manage semesters,Manage semesters
usecase_v1_0112,SkyCascade__SkyLearn,1,1.0,1,1,1.0,0.2,1,0,0,Admin,Admin,Manage students,Manage Students
usecase_v1_0113,SkyCascade__SkyLearn,1,1.0,1,1,1.0,0.3158,1,0,0,Admin,Admin,Manage lecturers,Manage Lecturers
usecase_v1_0114,SkyCascade__SkyLearn,1,1.0,0,0,0.0,0.3529,1,0,0,Admin,Admin,Manage parents,Add Parent
usecase_v1_0115,SkyCascade__SkyLearn,1,1.0,1,1,1.0,0.3529,1,0,0,Admin,Admin,Manage programs,Manage programs
usecase_v1_0116,SkyCascade__SkyLearn,1,1.0,1,1,1.0,0.3,1,0,0,Admin,Admin,Manage courses,Manage Courses
usecase_v1_0117,SkyCascade__SkyLearn,1,1.0,0,0,0.0,0.6087,1,0,0,Admin,Admin,Allocate courses to lecturers,Manage Course Allocation
usecase_v1_0118,SkyCascade__SkyLearn,1,1.0,0,0,0.3333,0.4,1,0,0,Lecturer,Lecturer,Upload course documentation,Manage course documentations
usecase_v1_0119,SkyCascade__SkyLearn,1,1.0,0,0,0.5714,0.3636,1,0,0,Lecturer,Lecturer,Upload course video tutorials,Manage video tutorials
usecase_v1_0120,SkyCascade__SkyLearn,1,1.0,0,0,0.2222,0.2222,1,0,0,Student,Student,Register and drop courses,Manage course registration and dropping
usecase_v1_0121,SkyCascade__SkyLearn,1,1.0,0,0,0.6667,0.3704,1,0,0,Lecturer,Lecturer,Submit student scores,Manage student scores
usecase_v1_0122,SkyCascade__SkyLearn,1,1.0,0,0,0.5,0.25,1,0,0,Student,Student,View grade and assessment results,View Grade Result
usecase_v1_0123,SkyCascade__SkyLearn,1,1.0,0,0,0.4444,0.25,1,0,0,Student,Student,Download registration form and result sheet,View Registration Form
usecase_v1_0124,SkyCascade__SkyLearn,1,1.0,0,1,0.6667,0.4211,1,0,0,Lecturer,Lecturer,Create and manage quizzes,Manage quizzes
usecase_v1_0125,SkyCascade__SkyLearn,1,1.0,0,0,0.2857,0.7368,1,0,0,Lecturer,Lecturer,Create multiple-choice questions,Create MC Question
usecase_v1_0126,SkyCascade__SkyLearn,1,1.0,0,1,0.5,0.1818,1,0,0,Student,Student,Take quiz and continue incomplete quiz,Take quiz
usecase_v1_0127,SkyCascade__SkyLearn,1,1.0,0,0,0.2222,0.08,1,0,0,Lecturer,Lecturer,Review and mark quiz sittings,View quiz marking list
usecase_v1_0128,SkyCascade__SkyLearn,1,1.0,1,1,1.0,0.125,1,0,0,Student,Student,View quiz progress,View quiz progress
usecase_v1_0129,SkyCascade__SkyLearn,1,1.0,0,0,0.8,0.4762,1,0,0,User,User,Search learning content,Search content
usecase_v1_0130,SkyCascade__SkyLearn,1,1.0,0,0,0.2222,0.4,1,0,0,Student,Student,Pay through payment gateway,Create Invoice and Process Payment
usecase_v1_0131,SkyCascade__SkyLearn,1,1.0,0,0,0.3333,0.4,1,0,0,Admin,Admin,Create and view invoices,Create Invoice
usecase_v1_0132,adityagoyal222__django-lms,1,1.0,0,0,0.0,0.1739,1,0,0,User,User,Sign up and authenticate,Register User
usecase_v1_0133,adityagoyal222__django-lms,1,1.0,1,1,1.0,0.5,1,0,0,Teacher,Teacher,Create course,Create course
usecase_v1_0134,adityagoyal222__django-lms,1,1.0,0,0,0.4,0.3333,1,0,0,User,User,Browse courses,List/Search Courses
usecase_v1_0135,adityagoyal222__django-lms,1,1.0,1,1,1.0,0.8333,1,0,0,Student,Student,Enroll in course,Enroll in course
usecase_v1_0136,adityagoyal222__django-lms,1,1.0,1,1,1.0,0.4,1,0,0,Student,Student,Unenroll from course,Unenroll from course
usecase_v1_0137,adityagoyal222__django-lms,1,1.0,1,1,1.0,0.75,1,0,0,Teacher,Teacher,Create assignment,Create Assignment
usecase_v1_0138,adityagoyal222__django-lms,1,1.0,1,1,1.0,0.5,1,0,0,Teacher,Teacher,Update assignment,Update Assignment
usecase_v1_0139,adityagoyal222__django-lms,1,1.0,1,1,1.0,0.4444,1,0,0,Teacher,Teacher,Delete assignment,Delete Assignment
usecase_v1_0140,adityagoyal222__django-lms,1,1.0,1,1,1.0,0.5556,1,0,0,Student,Student,Submit assignment,Submit Assignment
usecase_v1_0141,adityagoyal222__django-lms,1,1.0,1,1,1.0,0.7143,1,0,0,Student,Student,Delete assignment submission,Delete Assignment Submission
usecase_v1_0142,adityagoyal222__django-lms,1,1.0,1,1,1.0,0.6154,1,0,0,Teacher,Teacher,Grade assignment submission,Grade Assignment Submission
usecase_v1_0143,adityagoyal222__django-lms,1,1.0,0,0,0.8,0.1333,1,0,0,Teacher,Teacher,Create course resource,Create Resource
usecase_v1_0144,adityagoyal222__django-lms,1,1.0,0,0,0.8,0.0,1,0,0,Teacher,Teacher,Delete course resource,Delete Resource
usecase_v1_0145,engripaye__library-management-system,1,1.0,0,0,0.5,0.7273,1,0,0,Librarian,Librarian,Add book,Create book
usecase_v1_0146,engripaye__library-management-system,1,1.0,0,0,0.8,0.381,1,0,0,User,User,List books,List/Search Books
usecase_v1_0147,engripaye__library-management-system,1,1.0,1,1,1.0,0.1111,1,0,0,User,User,Search books,Search books
usecase_v1_0148,engripaye__library-management-system,1,1.0,1,1,1.0,0.381,1,0,0,User,User,View book detail,View book detail
usecase_v1_0149,engripaye__library-management-system,1,1.0,0,0,0.6667,0.7059,1,0,0,Librarian,Librarian,Register library user,Register new user
usecase_v1_0150,engripaye__library-management-system,1,1.0,0,0,0.6667,0.3158,1,0,0,Librarian,Librarian,List library users,List/Search Users
usecase_v1_0151,engripaye__library-management-system,1,1.0,0,0,0.8,0.0,1,0,0,User,User,Borrow book,Borrow a book
usecase_v1_0152,engripaye__library-management-system,1,1.0,0,0,0.8571,0.5714,1,0,0,User,User,Return borrowed book,Return a borrowed book
usecase_v1_0153,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,1,1.0,0,0,0.4,0.4286,1,0,0,Admin,Admin,Manage student records,Manage students
usecase_v1_0154,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,1,1.0,1,1,1.0,0.2222,1,0,0,Admin,Admin,Manage courses,Manage courses
usecase_v1_0155,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,1,1.0,0,0,0.2857,0.3333,1,0,0,Admin,Admin,Add course to student,Manage student courses
usecase_v1_0156,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,1,1.0,1,1,1.0,0.6,1,0,0,Admin,Admin,Remove course from student,Remove course from student
usecase_v1_0157,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,1,1.0,0,0,0.3333,0.75,1,0,0,Admin,Admin,Manage student passport details,Add Passport
usecase_v1_0158,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,1,1.0,0,0,0.8,0.8235,1,0,0,Admin,Admin,Add course review,Add Review
usecase_v1_0159,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,1,1.0,0,0,0.8571,0.7059,1,0,0,Admin,Admin,Remove course review,Remove review from course
usecase_v1_0160,mehmetpekdemir__Library-Management-System,1,1.0,0,0,0.3333,0.25,1,0,0,Admin,Admin,List and view books,Manage books
usecase_v1_0161,mehmetpekdemir__Library-Management-System,1,1.0,1,1,1.0,0.5,1,0,0,Admin,Admin,Search books,Search books
usecase_v1_0162,mehmetpekdemir__Library-Management-System,1,1.0,1,1,1.0,0.2927,1,0,0,Admin,Admin,Create book,Create book
usecase_v1_0163,mehmetpekdemir__Library-Management-System,1,1.0,1,1,1.0,0.4,1,0,0,Admin,Admin,Update book,Update book
usecase_v1_0164,mehmetpekdemir__Library-Management-System,1,1.0,0,0,0.5,0.3529,1,0,0,Admin,Admin,Delete book,Remove book
usecase_v1_0165,mehmetpekdemir__Library-Management-System,1,1.0,1,1,1.0,0.2609,1,0,0,Admin,Admin,Manage authors,Manage authors
usecase_v1_0166,mehmetpekdemir__Library-Management-System,1,1.0,1,1,1.0,0.3478,1,0,0,Admin,Admin,Manage categories,Manage categories
usecase_v1_0167,mehmetpekdemir__Library-Management-System,1,1.0,1,1,1.0,0.2609,1,0,0,Admin,Admin,Manage publishers,Manage Publishers
usecase_v1_0168,RameshMF__library-management-system,1,1.0,0,0,0.4,0.24,1,0,0,Librarian,Librarian,Manage book catalog,Manage books
usecase_v1_0169,RameshMF__library-management-system,1,1.0,0,0,0.4,0.5333,1,0,0,Librarian,Librarian,Register library user,Create user
usecase_v1_0170,RameshMF__library-management-system,1,1.0,0,0,0.4,0.3333,1,0,0,Librarian,Librarian,List library users,Manage users
usecase_v1_0171,RameshMF__library-management-system,1,1.0,0,0,0.8,0.9333,1,0,0,User,User,Borrow book,Borrow a book
usecase_v1_0172,RameshMF__library-management-system,1,1.0,1,1,1.0,0.6667,1,0,0,User,User,Return book,Return book
usecase_v1_0173,RameshMF__library-management-system,1,1.0,1,1,1.0,0.2727,1,0,0,User,User,View book detail,View Book detail
usecase_v1_0174,JacksonGao1999__StudentManagement,1,1.0,0,0,0.5714,0.2857,1,0,0,Admin,Admin,List students with pagination,List/Search Students
usecase_v1_0175,JacksonGao1999__StudentManagement,1,1.0,0,0,0.5714,0.48,1,0,0,Admin,Admin,Validate student name,Check student name availability
usecase_v1_0176,JacksonGao1999__StudentManagement,1,1.0,1,1,1.0,0.4706,1,0,0,Admin,Admin,Create student,Create student
usecase_v1_0177,JacksonGao1999__StudentManagement,1,1.0,0,0,0.0,0.3158,1,0,0,Admin,Admin,View and update student,Manage students
usecase_v1_0178,JacksonGao1999__StudentManagement,1,1.0,1,1,1.0,0.4706,1,0,0,Admin,Admin,Delete students,Delete students
usecase_v1_0179,JacksonGao1999__StudentManagement,1,1.0,0,0,0.0,0.0952,1,0,0,Admin,Admin,Load department options,List/Search Departments
usecase_v1_0180,Asitha123__Java-Spring-boot-Student-Management-System,1,1.0,0,0,0.5,0.3333,1,0,0,Admin,Admin,List students,Manage students
usecase_v1_0181,Asitha123__Java-Spring-boot-Student-Management-System,1,1.0,0,0,0.0,0.1538,1,0,0,Admin,Admin,Open student create or edit form,Manage students
usecase_v1_0182,Asitha123__Java-Spring-boot-Student-Management-System,1,1.0,1,1,1.0,0.4762,1,0,0,Admin,Admin,Save student,Save student
usecase_v1_0183,Asitha123__Java-Spring-boot-Student-Management-System,1,1.0,1,1,1.0,0.6154,1,0,0,Admin,Admin,Delete student,Delete student
